Title,Year,Duration,IMDb Rating,Votes
177. Detained,2024,1h 37m,4.8,1.3K
178. Parallel,2024,1h 28m,5.3,1.7K
179. Pottel,2024,2h 28m,8.9,2.6K
180. Lake George,2024,1h 58m,6.3,670
181. Ferry 2,2024,1h 34m,5.6,3.3K
182. #AMFAD: All My Friends Are Dead,2024,1h 31m,4.5,1.1K
183. The Soul Eater,2024,1h 48m,5.9,2.1K
184. Humane,2024,1h 33m,5.5,6.1K
185. Vanished Into the Night,2024,1h 32m,5.2,4.4K
186. DarkGame,2024,1h 40m,4.6,2.7K
187. Beacon,2024,1h 36m,5.5,107
188. Elyas,2024,1h 45m,6.0,908
189. Life After Fighting,2024,2h 6m,6.4,1.7K
190. Long Gone Heroes,2024,1h 32m,5.1,709
191. Blackwater Lane,2024,1h 48m,4.5,1.5K
192. Barroz: Guardian of Treasures,2024,2h 35m,3.9,733
193. Shaitaan,2024,2h 12m,6.5,53K
194. Force of Nature: The Dry 2,2024,2h,5.9,6.1K
195. American Star,2024,1h 47m,5.5,2.3K
196. Bougainvillea,2024,2h 18m,6.4,2.6K
197. Badland Hunters,2024,1h 47m,5.9,12K
198. The Painted,2024,1h 25m,5.0,129
199. Putin,2024,1h 49m,3.0,412
200. Bad Genius,2024,1h 36m,6.1,1.6K
201. The Shrouds,2024,1h 59m,5.6,595
202. Despatch,2024,2h 33m,4.5,4.3K
203. Strictly Confidential,2024,1h 34m,2.8,769
204. Lembayung,2024,2h 3m,6.4,580
205. Code 8: Part II,2024,1h 40m,5.7,15K
206. He Ain't Heavy,2024,1h 42m,6.1,288
207. Crescent City,2024,1h 43m,3.9,1.2K
208. Last Known Location,2024,1h 50m,6.4,1.3K
209. Levels,2024,1h 33m,5.0,1.2K
210. Relay,2024,1h 52m,7.5,84
211. The Last Breath,2024,1h 36m,4.7,1.7K
212. Raayan,2024,2h 25m,6.5,10K
213. Shell,2024,1h 40m,6.6,59
214. Maldoror,2024,2h 35m,7.1,404
215. Inside,2024,1h 44m,6.9,135
216. Shelby Oaks,2024,1h 39m,6.0,220
217. The Courier,2024,1h 41m,6.0,4.1K
218. Things Will Be Different,2024,1h 42m,5.2,1.6K
219. Black Cab,2024,1h 28m,4.2,1.5K
220. Boundless,2024,2h 1m,5.6,1.7K
221. Cadi,2024,2h 14m,6.4,4K
222. Mafia Wars,2024,1h 34m,3.6,138
223. How to Make a Killing,2024,1h 49m,6.6,513
224. The Smile Man,2024,2h 2m,7.9,931
225. Darkness of Man,2024,1h 49m,4.4,1.8K
226. Prey,2024,1h 26m,3.7,3.1K
227. Utopia,2024,1h 31m,3.6,278
228. We Bury the Dead,2024,N/A,7.4,47
229. A Mistake,2024,1h 41m,5.4,645
230. Black Dog,2024,1h 56m,7.2,1.7K
231. One More Shot,2024,1h 43m,5.4,3.4K
232. Time for Sunset,2024,N/A,N/A,N/A
233. Barron's Cove,2024,1h 56m,8.5,21
234. 5lbs of Pressure,2024,1h 51m,5.3,1.5K
235. House of Spoils,2024,1h 41m,5.0,3.5K
236. The Price of Money: A Largo Winch Adventure,2024,1h 40m,5.0,833
237. Bade Miyan Chote Miyan,2024,2h 43m,3.8,39K
238. 1 Million Followers,2024,1h 41m,5.0,570
239. Marmalade,2024,1h 39m,6.2,3.3K
240. The Clean Up Crew,2024,1h 35m,4.2,983
241. Air Force One Down,2024,1h 24m,4.4,2.7K
242. Dominique,2024,1h 40m,5.1,1.8K
243. Cult Killer,2024,1h 45m,4.8,2.6K
244. Why Do You?,2024,1h 43m,5.4,321
245. Motel Destino,2024,1h 55m,6.6,1.4K
246. Article 370,2024,2h 38m,7.8,24K
247. Joe Baby,2024,1h 26m,8.1,15
248. Chime,2024,45m,6.4,1.9K
249. Hijack 1971,2024,1h 40m,6.8,3K
250. The Wages of Fear,2024,1h 44m,4.6,3.9K
251. Last Night on Earth,2024,1h 26m,5.2,115
252. The Luckiest Man in America,2024,1h 30m,6.7,56
253. Desert Fiends,2024,N/A,8.3,252
254. The Contract,2024,1h 45m,6.4,40
255. Lights Out,2024,1h 30m,4.9,1.7K
256. Following,2024,1h 42m,6.4,1K
"257. I, the Executioner",2024,1h 58m,6.4,1.2K
258. CTRL,2024,1h 39m,6.2,5.7K
